Time	P1_pad	P3b_pad	P3a_pad	P1_cup	P2_cup	P3_cup	P1_green	P2_green	P3_green	P1_pink	P2_pink	P3_pink	P1_ripe	P2_ripe	P3_ripe	null1	null2	null3
K00366	0	0	0	0	0	0	0	6.31	3.59	5.47	6.33	4.74	0	0	0	0	0	0
K00382	30.01	29.28	27.62	39.73	120.11	39.9	124.97	89.92	101.68	182.89	168.45	170.35	140.69	20.89	168.33	0	0	0
K00383	30.62	29.46	108.68	26.98	67.61	24.11	28.62	14.66	24.55	25.36	23.47	21.2	252.14	255.53	21.1	0	0	0
K00384	28.44	30.73	40.12	29	29.17	28.86	34.55	10.66	25.96	56.62	219.15	43.63	23.72	4.09	5.01	0	0	0
K00387	36.76	37.38	94.17	37.03	39.75	39.23	43.35	59.95	43.52	31.76	31.6	0	27.08	25.91	26.23	0	0	0
K00390	9.79	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00392	53.92	0	60.38	36.6	40.21	0	44.3	33.03	49.47	79.46	67.75	75.93	75.27	59.59	68.08	0	0	0
K00411	22.77	250.55	246.05	0	281.03	0	251.7	198.64	133.59	0	313.29	438.94	0	0	0	0	0	0
K00412	0	12.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00413	96.57	0	93.73	88.56	0	0	95.38	0	0	201.27	260.65	0	0	0	0	0	0	0
K00415	32.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00416	37.46	0	0	0	0	68.52	0	0	0	0	0	0	0	64.21	0	0	0	0
K00417	0	132.06	162.76	0	0	168.4	67.95	47.23	133.67	0	144.21	0	688.51	254.35	60.38	0	0	0
K00422	0	971.28	0	952.2	949.85	1098.5	291.28	10.28	140.33	133.59	7.15	118.24	144.45	133.36	204.13	0	0	0
K00423	6.21	4.07	0	7.04	9.27	9.11	0	0	0	0	0	0	0	0	0	0	0	0
K00430	1477.62	4.69	7.58	454.43	6.37	5.89	8.88	5.34	12	6.58	7.14	5.65	5.36	3.5	7.39	0	0	0
K00432	57.48	51.05	53.84	73.66	93.51	75.12	177.4	104.14	162.97	121.29	1520.45	1128.99	142.73	110.16	92.63	0	0	0
K00434	58.49	55.78	359.11	758.06	41.15	870.03	160.8	302.87	441.49	508.2	3.21	274.03	626.46	445.71	307.85	0	0	0
K00441	0	0	27.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00451	82.42	87.23	88.75	102.79	101.09	96.04	204.47	263.05	188.97	561.69	545.88	673.44	1044.69	586.25	677.51	0	0	0
K00454	1357.35	848.16	1411.69	1283.76	1206.34	1270.21	1276.69	403.37	1081.19	26.94	79.56	12.55	22.64	30.67	22.21	0	0	0
K00457	92.12	109.16	0	118.37	168.19	110.33	99.04	105.77	131.4	695.8	853.46	1012.4	1173.18	753.66	914.16	0	0	0
K00461	47.03	0	51.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00469	187.91	234.91	0	112.68	117	134.02	0	41.18	31.09	0	0	0	28.81	106.99	7.14	0	0	0
K00472	24.39	18.71	8.13	29.93	7.99	6.18	10.23	16.31	13.49	5.33	52.37	43.08	32.88	28.88	95.33	0	0	0
K00475	197.26	205.16	171.77	166.21	217.16	218.62	209.97	22.68	118.43	1044.57	788.5	731.18	414.91	1047.77	943.98	0	0	0
K00477	29.2	34.13	34.25	39.46	41.53	43.65	44.99	34.99	38.48	50.17	56.44	52.22	56.34	54.23	44.56	0	0	0
K00485	45.38	57.78	57.67	46.13	47.24	50.17	27.61	27.13	31.17	6.94	9.37	8.84	6.41	4.01	4.86	0	0	0
K00487	159.81	174.27	172.27	122.98	177.18	158.1	325.03	73.88	138.25	429.51	294.08	296.36	171.31	339.48	375.91	0	0	0
K00493	0	0	6.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00499	8.45	58.83	6.41	0	8.57	10.42	9.41	4.5	6.65	3.58	4.72	6.47	0	3.96	4.11	0	0	0
K00507	5.76	0	3.92	4.54	4.63	4.39	7.14	3.89	5.49	3.79	3.01	2.98	8.95	2.56	0	0	0	0
K00510	46.68	18.59	46.54	47.59	44.24	41.33	44.19	29.24	12.28	6.45	58.88	6.84	56.56	43.16	45.34	0	0	0
K00511	96.31	20.29	89.69	20.03	27.11	26.52	0	96.09	113.91	71.55	64.36	83.88	93.54	77.2	78.98	0	0	0
K00512	29.48	27.86	21.61	24.26	5.09	37.02	17.93	22.84	29.11	26.11	26.04	19.89	22.79	158.51	33.68	0	0	0
K00514	93.01	27.45	0	18.95	17.25	17.23	0	13.72	0	13.85	13.34	14.07	6.93	10.21	12.32	0	0	0
K00517	5.01	21.28	51.62	92.52	5.2	10.35	5.98	89.74	103.57	73.75	0	40.41	4.43	35.48	85.21	0	0	0
K00522	43.94	44.66	96.29	24.7	96.37	28.15	98.16	4.47	24.18	54.7	3.94	4.49	6.35	57.31	5.49	0	0	0
K00543	17.55	0	48.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00547	15.79	13.63	12.5	6.81	17.38	16.26	24.84	20.48	15	14.7	17.36	14.7	11.73	15.9	25.36	0	0	0
K00549	517.94	544.5	506.24	668.83	842.32	758.87	888.95	709.6	0	475.25	0	429.8	0	533.92	413.17	0	0	0
K00550	0	0	0	0	0	0	0	9.38	8.23	0	7.8	24.14	7.13	0	0	0	0	0
K00555	37.28	4.5	33.63	27.92	4.56	29.51	32.68	29.06	2.39	43.28	44.62	46.04	34.72	42.35	42.85	0	0	0
